test_id,query,answer,num_sources,expected_info,query_type,difficulty,faithfulness,answer_relevance,context_relevance,word_count,context_utilization,specificity,retrieval_score
1,What is Microsoft's contact email address?,"Unfortunately, the contact email address for Microsoft is not provided in the given context.",5,support@microsoft.com,direct_factual,easy,5.0,5.0,1.0,14,0.23076923076923078,0.0,0.49283054871619125
2,Which company operates in the Electric Vehicles & Clean Energy industry?,Tesla,5,Tesla,direct_factual,easy,5.0,5.0,5.0,1,1.0,0.0,0.5069074005252067
3,What is the projected market size for cloud computing and software by 2027?,"According to the provided context, the projected market size for cloud computing and software by 2027 is over $1 trillion.",5,Over $1 trillion by 2027,market_analysis,medium,5.0,5.0,5.0,20,0.7368421052631579,0.75,0.4911164297038312
4,Compare the projected market sizes for the CRM market and ERP market in their respective forecast years.,"Based on the provided context, here is a comparison of the projected market sizes for the CRM market and ERP market in their respective forecast years:

* CRM Market: Projected to reach over $100 bill",5,CRM market: over $100 billion by 2029; ERP market: over $80 billion by 2028,comparison,hard,5.0,5.0,5.0,98,0.42105263157894735,0.75,0.41497083865031376
5,Is Stripe involved in the payment processing industry?,"Yes, Stripe is involved in the payment processing industry. 

Key facts:
- Company: Stripe
- Industry: Payment Processing
- Description: Technology company building economic infrastructure for the int",5,"Yes, Stripe is a payment processing company",direct_factual,easy,5.0,5.0,5.0,46,0.6388888888888888,0.5,0.5652269407980499
6,What are the key challenges facing the semiconductor manufacturing sector?,"Based on the provided context, the key challenges facing the semiconductor manufacturing sector include:

* Geopolitical risks
* Supply chain vulnerabilities
* Rising costs of advanced manufacturing t",5,"Geopolitical risks, supply chain vulnerabilities, rising costs of advanced manufacturing technologies",market_analysis,medium,,,,28,0.6956521739130435,0.0,0.49418773136924976
7,Which companies provide cloud-based services according to the data?,"Based on the provided context, the following companies provide cloud-based services:

* Snowflake (Data Cloud & Analytics)
* Microsoft (Cloud Computing & Software)
* ServiceNow (Enterprise Cloud Solut",5,"Multiple companies including Microsoft, Amazon, Google, Oracle, Salesforce, Snowflake, ServiceNow, Twilio, Dropbox",aggregation,hard,,,,57,0.5555555555555556,0.25,0.5025771494846403
8,Does Netflix operate in the cloud computing industry?,"No, Netflix does not operate in the cloud computing industry. According to the provided context, Netflix operates in the Streaming Entertainment industry, providing subscription-based streaming servic",5,"No, Netflix operates in the streaming entertainment industry",negative_test,easy,,,,33,0.6071428571428571,0.25,0.4912708275763641
9,What is Shopify's phone number?,"Unfortunately, the provided context does not mention Shopify's phone number. However, it does provide an email address for contact: support@shopify.com.",5,+1-888-746-7439,direct_factual,easy,,,,20,0.15789473684210525,0.0,0.4563953552913088
10,Which company in the data has the highest projected market growth rate by percentage?,"Based on the provided context, the company with the highest projected market growth rate by percentage is the one mentioned in Source 2, with a projected subscription revenue growth rate of 22% to 23%",5,Requires analysis across multiple industries to determine highest CAGR,complex_reasoning,very_hard,,,,126,0.44594594594594594,0.75,0.4574731316984858
11,What are the main challenges facing the social media and technology sector?,"Based on the provided context, the main challenges facing the social media and technology sector include:

* Navigating increasing regulatory scrutiny around data privacy and antitrust concerns
* Comb",5,"Regulatory scrutiny around data privacy and antitrust, combating misinformation, maintaining user trust",market_analysis,medium,5.0,5.0,5.0,62,0.6521739130434783,0.25,0.5070740062415376
12,Is Apple's contact email support@microsoft.com?,"No, Apple's contact email is not support@microsoft.com. According to the context, Apple's contact email is actually support@apple.com.",5,"No, Apple's contact email is support@apple.com",negative_test,easy,5.0,5.0,5.0,17,0.23076923076923078,0.0,0.509662697075281
13,What products does Tesla manufacture?,"Based on the provided context, Tesla manufactures the following products:

* Electric vehicles:
	+ Model S
	+ Model 3
	+ Model X
	+ Model Y
* Battery energy storage products:
	+ Powerwall (residential",5,"Electric vehicles, battery energy storage, and solar products",direct_factual,easy,5.0,5.0,5.0,38,0.5,0.25,0.475413862234801
14,Which industries are experiencing labor shortage challenges?,"Based on the provided context, the following industry is experiencing labor shortage challenges:

* Hospitality & Travel (Source 1 and Source 2)",5,"Multiple industries including hospitality & travel, software development tools, enterprise technology & consulting",aggregation,hard,5.0,5.0,4.0,22,0.5238095238095238,0.25,0.44679403552985997
15,What is the projected market size for the global e-commerce market in 2024?,"According to the provided context, the projected market size for the global e-commerce market in 2024 is $6.3 trillion. This information is mentioned in multiple sources, including Source 1, Source 2,",5,Approximately $6.3 trillion in 2024,market_analysis,medium,5.0,5.0,5.0,34,0.5555555555555556,0.75,0.4464318935560899
16,Does Zoom provide services for hospitality and travel?,"No, according to the provided context, Zoom does not provide services for hospitality and travel. Zoom is a leader in modern enterprise video communications, providing a unified platform for video con",5,"No, Zoom provides video communications services",negative_test,easy,,,,55,0.8125,0.0,0.4947799900247246
17,What is the domain for Uber?,The domain for Uber is uber.com.,5,uber.com,direct_factual,easy,,,,6,0.6666666666666666,0.0,0.4764591162844152
18,Compare the challenges faced by the digital payments sector and payment processing sector.,"**Comparison of Challenges Faced by Digital Payments Sector and Payment Processing Sector**

Based on the provided context, here is a comparison of the challenges faced by the digital payments sector ",5,Both face evolving regulatory landscapes and cybersecurity threats; payment processing also faces integration challenges with blockchain/AI,comparison,hard,,,,128,0.5714285714285714,0.5,0.4910928206776517
19,"Which company develops Jira, Confluence, and Trello?",Atlassian,5,Atlassian,direct_factual,easy,,,,1,1.0,0.0,0.48980473149687087
20,What is the projected CAGR for the music streaming market from 2024 to 2029?,"To calculate the projected CAGR (Compound Annual Growth Rate) for the music streaming market from 2024 to 2029, we need to use the following formula:

CAGR = (End Value / Start Value)^(1 / Number of Y",5,Calculation based on growth from $48.2B (2024) to $64.1B (2029),market_analysis,hard,,,,98,0.38333333333333336,1.0,0.47687901784821285
21,What services does AWS provide according to the Amazon company description?,"According to the Amazon company description, AWS provides the following services:

* Compute: EC2 instances ranging from general-purpose to specialized workloads, offering unparalleled scalability and",5,Cloud computing services (AWS is mentioned in the company description),direct_factual,medium,5.0,5.0,5.0,100,0.9102564102564102,0.5,0.4732900350785547
22,Which companies are specifically mentioned as providing collaboration tools or platforms?,"Based on the provided context, the following companies are specifically mentioned as providing collaboration tools or platforms:

* Dropbox (Source 1 and Source 2)
* Meta (Source 3) - specifically men",5,"Slack, Dropbox, Atlassian",aggregation,medium,5.0,5.0,5.0,37,0.3870967741935484,0.5,0.4906123932021139
23,Is Salesforce's projected market growth faster than SAP's ERP market?,"Based on the provided context, here are the relevant growth projections for both companies:

* Salesforce's CRM market is projected to reach over $100 billion by 2029, but the CAGR is not explicitly s",5,CRM market projected to reach $100B+ by 2029 vs ERP market $80B+ by 2028 - requires analysis,comparison,hard,5.0,4.0,5.0,104,0.46153846153846156,0.75,0.5006680568565669
24,What is Nvidia's industry sector?,Nvidia's industry sector is Graphics Processing & AI.,5,Graphics Processing & AI,direct_factual,easy,5.0,5.0,5.0,8,0.75,0.25,0.5203101924142208
